"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/2024","185.60","186.00","186.00","185.60","0.88K","-1.80%"
"10/10/2024","189.00","190.00","190.00","186.00","1.23K","1.61%"
"10/09/2024","186.00","184.00","194.90","180.00","4.73K","1.09%"
"10/08/2024","184.00","188.50","188.50","180.00","1.02K","-2.39%"
"10/07/2024","188.50","184.00","188.80","184.00","1.85K","1.89%"
"10/04/2024","185.00","181.00","189.00","180.00","3.84K","2.21%"
"10/03/2024","181.00","180.00","181.00","180.00","0.53K","-0.55%"
"10/02/2024","182.00","182.00","182.10","182.00","1.32K","0.00%"
"10/01/2024","182.00","179.00","182.00","179.00","0.64K","1.68%"
"09/30/2024","179.00","177.60","180.00","177.60","1.09K","0.79%"
"09/27/2024","177.60","186.00","189.00","177.50","0.21K","0.34%"
"09/26/2024","177.00","177.00","190.00","177.00","35.07K","0.00%"
"09/25/2024","177.00","177.00","177.20","176.50","0.86K","0.00%"
"09/24/2024","177.00","177.20","177.20","177.00","5.82K","-0.11%"
"09/23/2024","177.20","177.20","177.20","177.00","1.74K","0.68%"
"09/20/2024","176.00","177.00","177.20","176.00","4.70K","-0.56%"
"09/19/2024","177.00","176.40","177.10","176.40","1.35K","1.43%"
"09/18/2024","174.50","176.00","176.60","174.00","2.23K","0.17%"
"09/17/2024","174.20","176.40","176.40","174.10","3.90K","-1.25%"
"09/16/2024","176.40","176.00","176.90","175.30","1.10K","1.38%"
"09/13/2024","174.00","174.80","175.30","170.00","11.60K","2.35%"
"09/12/2024","170.00","176.00","176.00","170.00","11.52K","-1.73%"
"09/11/2024","173.00","173.50","177.00","171.00","0.46K","-0.29%"
"09/10/2024","173.50","177.00","177.20","173.50","2.36K","0.29%"
"09/09/2024","173.00","170.20","177.10","170.20","0.62K","-1.70%"
"09/06/2024","176.00","174.00","176.60","170.10","5.04K","1.73%"
"09/05/2024","173.00","171.00","173.90","171.00","0.19K","1.17%"
"09/04/2024","171.00","171.00","177.00","171.00","0.47K","0.00%"
"09/03/2024","171.00","177.30","177.30","171.00","0.94K","0.06%"
"09/02/2024","170.90","171.00","177.00","170.60","1.72K","0.23%"
"08/30/2024","170.50","177.90","177.90","170.50","0.37K","-0.06%"
"08/29/2024","170.60","170.10","178.00","170.10","2.19K","-0.23%"
"08/28/2024","171.00","178.50","178.50","171.00","6.24K","-0.58%"
"08/27/2024","172.00","178.50","178.50","171.50","1.37K","0.29%"
"08/22/2024","171.50","172.00","178.50","171.40","1.96K","0.06%"
"08/21/2024","171.40","173.00","180.00","171.40","4.25K","-0.35%"
"08/20/2024","172.00","180.00","180.00","172.00","3.22K","-2.82%"
"08/19/2024","177.00","181.00","182.00","176.00","3.04K","-2.21%"
"08/16/2024","181.00","180.00","181.00","179.00","1.14K","0.56%"
"08/15/2024","180.00","179.90","180.00","179.90","0.40K","2.27%"
"08/14/2024","176.00","180.00","180.00","176.00","1.61K","-1.68%"
"08/13/2024","179.00","178.00","180.50","178.00","0.12K","0.56%"
"08/12/2024","178.00","185.00","185.00","178.00","1.77K","-3.78%"
"08/09/2024","185.00","180.00","185.00","180.00","0.33K","0.54%"
"08/08/2024","184.00","178.00","184.00","178.00","0.56K","2.22%"
"08/07/2024","180.00","182.00","182.00","180.00","0.26K","0.00%"
"08/06/2024","180.00","175.00","180.00","172.00","1.97K","2.86%"
"08/05/2024","175.00","172.00","180.00","172.00","1.36K","1.74%"
"08/02/2024","172.00","180.00","184.00","170.00","32.72K","-3.37%"
"08/01/2024","178.00","180.00","180.00","177.70","1.30K","-0.56%"
"07/31/2024","179.00","183.90","183.90","179.00","0.71K","-0.56%"
"07/30/2024","180.00","183.30","184.00","180.00","1.47K","-2.17%"
"07/29/2024","184.00","187.00","187.00","184.00","3.21K","-1.55%"
"07/26/2024","186.90","187.00","190.00","185.10","0.65K","-1.63%"
"07/25/2024","190.00","190.00","190.00","189.00","1.02K","0.00%"
"07/23/2024","190.00","190.00","190.00","189.60","0.14K","0.00%"
"07/22/2024","190.00","190.00","190.00","190.00","0.37K","0.53%"
"07/19/2024","189.00","189.00","189.00","188.00","1.25K","0.53%"
"07/18/2024","188.00","189.00","190.50","188.00","0.93K","-1.83%"
"07/17/2024","191.50","189.00","191.50","189.00","0.26K","-0.26%"
"07/16/2024","192.00","192.50","192.50","189.00","0.52K","-0.26%"
"07/15/2024","192.50","195.00","195.00","190.00","1.16K","1.32%"
"07/12/2024","190.00","189.10","195.00","189.10","100.54K","0.48%"
"07/11/2024","189.10","189.90","190.00","189.10","0.24K","0.05%"
"07/10/2024","189.00","191.00","191.00","189.00","1.12K","-1.05%"
"07/09/2024","191.00","195.00","195.00","191.00","6.16K","-2.05%"
"07/08/2024","195.00","195.00","195.00","194.00","0.34K","0.52%"
"07/05/2024","194.00","194.00","194.00","194.00","0.55K","0.52%"
"07/04/2024","193.00","193.00","193.00","193.00","0.69K","1.58%"
"07/03/2024","190.00","192.00","192.00","189.00","0.55K","-1.55%"
"07/02/2024","193.00","193.00","193.00","193.00","1.64K","0.00%"
"07/01/2024","193.00","193.00","193.00","193.00","0.32K","0.00%"
"06/28/2024","193.00","193.00","193.00","190.00","32.76K","1.05%"
"06/27/2024","191.00","191.00","191.00","191.00","22.65K","0.53%"
"06/26/2024","190.00","191.00","191.00","190.00","25.57K","-0.52%"
"06/25/2024","191.00","191.10","194.90","191.00","1.75K","0.00%"
"06/24/2024","191.00","195.00","195.00","191.00","0.36K","-2.05%"
