Date,Price,Open,High,Low,Vol.,Change %
10/11/2024,7310.32,7415.19,7415.19,7291.05,72.95K,-1.36%
10/10/2024,7411.47,7416.43,7457.41,7399.43,75.00K,-0.18%
10/09/2024,7424.52,7518.21,7518.21,7424.52,85.12K,-1.50%
10/08/2024,7537.25,7535.34,7546.29,7488.99,91.69K,-0.23%
10/07/2024,7554.68,7464.81,7604.61,7464.81,110.54K,1.16%
10/04/2024,7467.92,7392.49,7467.92,7392.41,96.06K,1.07%
10/03/2024,7388.92,7406.79,7470.39,7388.92,84.16K,-0.19%
10/02/2024,7402.81,7351.77,7412.87,7335.19,64.96K,0.30%
10/01/2024,7380.32,7278.15,7388.15,7278.15,65.71K,1.48%
09/30/2024,7272.65,7417.48,7421.24,7272.65,91.31K,-2.10%
09/27/2024,7428.30,7428.49,7436.46,7402.35,81.65K,-0.41%
09/26/2024,7458.74,7374.71,7458.74,7369.35,99.34K,1.31%
09/25/2024,7362.62,7422.36,7441.99,7341.13,96.51K,-0.94%
09/24/2024,7432.21,7436.33,7474.44,7425.37,146.76K,0.20%
09/23/2024,7417.25,7291.47,7417.25,7291.47,105.44K,2.27%
09/20/2024,7252.32,7219.62,7338.66,7219.62,193.97K,0.70%
09/19/2024,7202.16,7151.28,7248.38,7151.28,100.31K,0.65%
09/18/2024,7155.90,7161.75,7219.17,7147.82,77.47K,-0.27%
09/17/2024,7175.36,7094.36,7180.72,7094.36,96.82K,1.00%
09/16/2024,7104.20,7032.34,7104.20,7031.13,60.97K,1.16%
09/13/2024,7022.85,7049.71,7090.68,7022.85,64.92K,-0.03%
09/12/2024,7024.67,6979.74,7049.81,6975.49,89.55K,1.15%
09/11/2024,6944.88,7001.73,7017.74,6944.88,103.74K,-0.57%
09/10/2024,6984.63,7004.02,7109.75,6984.63,129.34K,0.01%
09/09/2024,6984.25,6931.30,7025.46,6920.88,91.71K,0.69%
09/06/2024,6936.09,6888.71,6940.47,6886.49,86.77K,0.41%
09/05/2024,6907.97,6876.27,6914.63,6872.70,67.98K,0.38%
09/04/2024,6882.12,6814.71,6882.12,6759.93,77.21K,-0.01%
09/03/2024,6882.92,6934.70,6950.61,6878.48,78.60K,-0.58%
09/02/2024,6923.41,6927.25,6933.51,6904.54,72.91K,0.38%
08/30/2024,6897.54,6904.51,6930.42,6881.40,229.08K,0.09%
08/29/2024,6891.55,6953.01,6959.64,6872.55,100.68K,-0.96%
08/28/2024,6958.01,6985.56,7016.04,6958.01,85.66K,-0.22%
08/27/2024,6973.41,6967.95,7008.87,6967.95,118.04K,0.16%
08/22/2024,6961.96,6917.29,6987.04,6917.29,124.62K,0.89%
08/21/2024,6900.62,6952.27,6983.81,6900.62,77.75K,-0.64%
08/20/2024,6944.76,6930.80,7005.27,6930.80,122.45K,0.80%
08/19/2024,6889.87,6863.05,6943.53,6863.05,158.23K,0.62%
08/16/2024,6847.37,6724.27,6866.66,6724.27,126.00K,2.31%
08/15/2024,6692.91,6714.20,6742.48,6692.91,120.52K,-0.18%
08/14/2024,6704.96,6663.71,6723.11,6663.71,150.45K,0.82%
08/13/2024,6650.44,6624.33,6670.05,6615.38,101.34K,0.56%
08/12/2024,6613.36,6653.00,6661.86,6594.59,69.56K,-0.52%
08/09/2024,6647.80,6571.65,6647.80,6571.65,157.08K,1.50%
08/08/2024,6549.27,6536.50,6570.82,6515.91,105.61K,0.22%
08/07/2024,6535.17,6461.86,6535.17,6451.95,73.02K,1.58%
08/06/2024,6433.24,6439.80,6512.47,6433.24,96.03K,-0.02%
08/05/2024,6434.73,6535.57,6535.57,6397.10,121.26K,-2.58%
08/02/2024,6605.30,6672.47,6672.47,6562.91,80.66K,-1.32%
08/01/2024,6693.83,6645.10,6693.83,6619.70,89.25K,1.13%
07/31/2024,6619.09,6599.97,6640.17,6597.87,135.22K,0.19%
07/30/2024,6606.36,6658.95,6671.34,6569.86,73.57K,-0.64%
07/29/2024,6649.23,6728.33,6761.76,6649.23,121.51K,-1.14%
07/26/2024,6726.01,6684.63,6726.01,6675.62,86.59K,0.84%
07/25/2024,6670.27,6698.25,6698.25,6651.68,74.82K,-1.23%
07/23/2024,6753.12,6727.58,6753.88,6686.71,78.23K,0.61%
